MovieTitle,ReleaseYear,Duration,Genre,Rating,Metascore,Votes,Gross
Bố Già,1972,175 min,"Crime, Drama",9.2,100,1987495,1987495
Chiến Hữu,1990,145 min,"Biography, Crime, Drama",8.7,100,1240901,1240901
Chuyện Tào Lao,1994,154 min,"Crime, Drama",8.9,100,2189931,2189931
Nghi Phạm Vô Hình,1995,106 min,"Crime, Drama, Mystery",8.5,100,1135167,1135167
Lời Sấm Truyền,1979,147 min,"Drama, Mystery, War",8.4,100,702810,702810
Lối Sống Đồi Trụy,1996,93 min,Drama,8.1,100,719375,719375
Sàn Đấu Sinh Tử,1999,139 min,Drama,8.8,100,2287964,2287964
Bản Danh Sách Của Schindler,1993,195 min,"Biography, Drama, History",9,100,1432976,1432976
Đêm Ăn Chơi,1997,155 min,Drama,7.9,100,279870,279870
Những Kẻ Phản Bội,1992,99 min,"Crime, Thriller",8.3,100,1076895,1076895
Nhà tù Shawshank,1994,142 min,Drama,9.3,100,2852546,2852546
Hàm Cá Mập,1975,124 min,"Adventure, Mystery, Thriller",8.1,100,652199,652199
Tài Xế Taxi,1976,114 min,"Crime, Drama",8.2,100,907612,907612
Bí Mật Los Angeles,1997,138 min,"Crime, Drama, Mystery",8.2,100,611715,611715
Trở Về Tương Lai,1985,116 min,"Adventure, Comedy, Sci-Fi",8.5,100,1290071,1290071
Bố Già Phần II,1974,202 min,"Crime, Drama",9,100,1348785,1348785
Thị Trấn Fargo,1996,98 min,"Crime, Thriller",8.1,100,717890,717890
Kỵ Sĩ Bóng Đêm,2008,152 min,"Action, Crime, Drama",9,100,2833881,2833881
Ma Trận,1999,136 min,"Action, Sci-Fi",8.7,100,2026799,2026799
Hương Mộc Lan,1999,188 min,Drama,8,100,326112,326112
Ông Trùm Mặt Sẹo,1983,170 min,"Crime, Drama",8.3,100,904512,904512
Gia Đình Thiên Tài,2001,110 min,"Comedy, Drama",7.6,100,310876,310876
Donnie Darko,2001,113 min,"Drama, Mystery, Sci-Fi",8,100,842206,842206
Trung Đội,1986,120 min,"Drama, War",8.1,100,434941,434941
Kỳ Phùng Địch Thủ,1995,170 min,"Action, Crime, Drama",8.3,100,709882,709882
Vẻ Đẹp Mỹ,1999,122 min,Drama,8.3,100,1200982,1200982
Bá Tước Lebowski,1998,117 min,"Comedy, Crime",8.1,100,852391,852391
Bò Đực Nổi Điên,1980,129 min,"Biography, Drama, Sport",8.1,100,376070,376070
Nhà Tiên Tri,2009,155 min,"Crime, Drama",7.8,100,101675,101675
Điệp Vụ Boston,2006,151 min,"Crime, Drama, Thriller",8.5,100,1406428,1406428
Chuyện Tình Của Mary,1998,119 min,"Comedy, Romance",7.1,100,326347,326347
Léon: Sát Thủ Chuyên Nghiệp,1994,110 min,"Action, Crime, Drama",8.5,100,1231267,1231267
Thành Phố Của Chúa,2002,130 min,"Crime, Drama",8.6,100,793138,793138
Nước Mỹ Một Thời,1984,229 min,"Crime, Drama",8.3,100,373735,373735
Băng Đảng Người Anh,1998,107 min,"Action, Comedy, Crime",8.1,100,610885,610885
Buổi Diễn Của Truman,1998,103 min,"Comedy, Drama",8.2,100,1176785,1176785
Câu Chuyện Đồ Chơi,1995,81 min,"Animation, Adventure, Comedy",8.3,100,1056665,1056665
Quái Vật Không Gian,1979,117 min,"Horror, Sci-Fi",8.5,100,938351,938351
Mối Tình Tay Ba Trường Rushmore,1998,93 min,"Comedy, Drama, Romance",7.6,100,196573,196573
7 Tội Lỗi Chết Người,1995,127 min,"Crime, Drama, Mystery",8.6,100,1772909,1772909
Chàng Will Tốt Bụng,1997,126 min,"Drama, Romance",8.3,100,1049351,1049351
Quái Vật Không Gian 2,1986,137 min,"Action, Adventure, Sci-Fi",8.4,100,755012,755012
Quỷ Ám,1973,122 min,Horror,8.1,100,449854,449854
Bay Trên Tổ Chim Cúc Cu,1975,133 min,Drama,8.7,100,1061179,1061179
Phố Tàu,1974,130 min,"Drama, Mystery, Thriller",8.1,100,345788,345788
Sòng Bạc,1995,178 min,"Crime, Drama",8.2,100,557074,557074
Lãng Mạn và Tội Ác,1993,119 min,"Crime, Drama, Romance",7.9,100,240086,240086
Võ Sĩ Giác Đấu,2000,155 min,"Action, Adventure, Drama",8.5,100,1598462,1598462
Indiana Jones Và Chiếc Rương Thánh Tích,1981,115 min,"Action, Adventure",8.4,100,1028298,1028298
Miller's Crossing,1990,115 min,"Crime, Drama, Thriller",7.7,100,140992,140992
Thử Làm John Malkovich,1999,113 min,"Comedy, Drama, Fantasy",7.7,100,351072,351072
Đương Đầu Với Thử Thách,1988,132 min,"Action, Thriller",8.2,100,936805,936805
Chuyện Tình Thế Chiến,1942,102 min,"Drama, Romance, War",8.5,100,600355,600355
Người Hùng Củ Chuối,2010,117 min,"Action, Comedy, Crime",7.6,100,588769,588769
Ảo Thuật Gia Đấu Trí,2006,130 min,"Drama, Mystery, Sci-Fi",8.5,100,1422907,1422907
Định Mệnh,2009,153 min,"Adventure, Drama, War",8.4,100,1560348,1560348
Ma Cây 2: Bình Minh Chết Chóc,1987,84 min,"Comedy, Horror",7.7,100,180252,180252
Công Viên Kỷ Jura,1993,127 min,"Action, Adventure, Sci-Fi",8.2,100,1054286,1054286
Người Dơi Xuất Hiện,2005,140 min,"Action, Crime, Drama",8.2,100,1560196,1560196
Dặm Xanh,1999,189 min,"Crime, Drama, Fantasy",8.6,100,1389394,1389394
Kẻ Đầu Mối Pháp,1971,104 min,"Action, Crime, Drama",7.7,100,133877,133877
Không Thể Tha Thứ,1992,130 min,"Drama, Western",8.2,100,432191,432191
Tay Lái Siêu Hạng,I 2011,100 min,"Action, Drama",7.8,100,696131,696131
Ngôi Nhà Ma,1980,146 min,"Drama, Horror",8.4,100,1093154,1093154
Ma Cây,1981,85 min,Horror,7.4,100,230290,230290
Cuộc Đời Forrest Gump,1994,142 min,"Drama, Romance",8.8,100,2225492,2225492
Quái Vật Biến Hình,1982,109 min,"Horror, Mystery, Sci-Fi",8.2,100,460191,460191
Công Dân Kane,1941,119 min,"Drama, Mystery",8.3,100,462013,462013
Nhung Xanh,1986,120 min,"Crime, Drama, Mystery",7.7,100,213126,213126
Hình Nhân Liễu Gai,1973,88 min,"Horror, Mystery, Thriller",7.5,100,90910,90910
