MovieTitle,ReleaseYear,Duration,Genre,Rating,Metascore,Votes,Gross
Bố Già,1972,175 min,"Crime, Drama",9.2,100,1987643,1987643
Câu Chuyện Tokyo,1953,136 min,Drama,8.1,100,67476,67476
Bảy Võ Sĩ Đạo,1954,207 min,"Action, Drama",8.6,100,363320,363320
Bố Già Phần II,1974,202 min,"Crime, Drama",9,100,1348889,1348889
Chuyện Tình Thế Chiến,1942,102 min,"Drama, Romance, War",8.5,100,600392,600392
Công Dân Kane,1941,119 min,"Drama, Mystery",8.3,100,462045,462045
Lawrence Xứ Ả Rập,1962,218 min,"Adventure, Biography, Drama",8.3,100,310698,310698
12 Người Đàn Ông Giận Dữ,1957,96 min,"Crime, Drama",9,100,852108,852108
Sunset Blvd.,1950,110 min,"Drama, Film-Noir",8.4,100,234110,234110
Shoah,1985,566 min,"Documentary, History, War",8.7,100,10347,10347
Ordet,1955,126 min,Drama,8.2,100,17207,17207
All About Eve,1950,138 min,Drama,8.2,100,137636,137636
Dekalog,1989–1990,572 min,Drama,8.9,100,27561,27561
Chuyện Tào Lao,1994,154 min,"Crime, Drama",8.9,100,2190120,2190120
Ánh Sáng Đô Thị,1931,87 min,"Comedy, Drama, Romance",8.5,100,194200,194200
Chuyện Đêm Mưa Trăng Lu,1953,96 min,"Drama, Fantasy, War",8.2,100,25471,25471
Hát Dưới Mưa,1952,103 min,"Comedy, Musical, Romance",8.3,100,257905,257905
Bản Danh Sách Của Schindler,1993,195 min,"Biography, Drama, History",9,100,1433091,1433091
400 Cú Đấm,1959,99 min,"Crime, Drama",8.1,100,126702,126702
Chiến Hữu,1990,145 min,"Biography, Crime, Drama",8.7,100,1241012,1241012
Les enfants du paradis,1945,189 min,"Drama, Romance",8.3,100,20960,20960
Thời Đại Tân Kỳ,1936,87 min,"Comedy, Drama, Romance",8.5,100,256793,256793
Tâm Thần Hoảng Loạn,1960,109 min,"Horror, Mystery, Thriller",8.5,100,711172,711172
Bay Trên Tổ Chim Cúc Cu,1975,133 min,Drama,8.7,100,1061266,1061266
Chữ M Bí Ẩn,1931,117 min,"Crime, Mystery, Thriller",8.3,100,166789,166789
Người Thứ Ba,1949,104 min,"Film-Noir, Mystery, Thriller",8.1,100,180218,180218
Mộ Đom Đóm,1988,89 min,"Animation, Drama, War",8.5,100,304624,304624
Tiến Sĩ Strangelove,1964,95 min,"Comedy, War",8.4,100,513295,513295
