MovieTitle,ReleaseYear,Duration,Rating,Metascore,Votes,Gross
Bố Già,1972,175.0,9.2,100.0,1987643.0,134966411.0
Bảy Võ Sĩ Đạo,1954,207.0,8.6,100.0,363320.0,269061.0
Bố Già Phần II,1974,202.0,9.0,100.0,1348889.0,57300000.0
Chuyện Tình Thế Chiến,1942,102.0,8.5,100.0,600392.0,1024560.0
Công Dân Kane,1941,119.0,8.3,100.0,462045.0,1585634.0
Lawrence Xứ Ả Rập,1962,218.0,8.3,100.0,310698.0,44824144.0
12 Người Đàn Ông Giận Dữ,1957,96.0,9.0,100.0,852108.0,4360000.0
Shoah,1985,566.0,8.7,100.0,10347.0,20175.0
All About Eve,1950,138.0,8.2,100.0,137636.0,10177.0
Dekalog,1989,572.0,8.9,100.0,27561.0,99360.0
Chuyện Tào Lao,1994,154.0,8.9,100.0,2190120.0,107928762.0
Ánh Sáng Đô Thị,1931,87.0,8.5,100.0,194200.0,19181.0
Chuyện Đêm Mưa Trăng Lu,1953,96.0,8.2,100.0,25471.0,11197.0
Hát Dưới Mưa,1952,103.0,8.3,100.0,257905.0,8819028.0
Bản Danh Sách Của Schindler,1993,195.0,9.0,100.0,1433091.0,96898818.0
Chiến Hữu,1990,145.0,8.7,100.0,1241012.0,46836394.0
Thời Đại Tân Kỳ,1936,87.0,8.5,100.0,256793.0,163245.0
Tâm Thần Hoảng Loạn,1960,109.0,8.5,100.0,711172.0,32000000.0
Bay Trên Tổ Chim Cúc Cu,1975,133.0,8.7,100.0,1061266.0,112000000.0
Chữ M Bí Ẩn,1931,117.0,8.3,100.0,166789.0,28877.0
Người Thứ Ba,1949,104.0,8.1,100.0,180218.0,449191.0
Tiến Sĩ Strangelove,1964,95.0,8.4,100.0,513295.0,275902.0
Pather Panchali,1955,125.0,8.2,100.0,38062.0,536364.0
Vụ Án Mạng Nhà Bên,1954,112.0,8.5,100.0,517176.0,36764313.0
Lã Sinh Môn,1950,88.0,8.2,100.0,178495.0,96568.0
Lời Sấm Truyền,1979,147.0,8.4,100.0,702851.0,83471511.0
Bài Ca Khổ Hình Của Joan of Arc,1928,110.0,8.1,100.0,59817.0,21877.0
Kẻ Cắp Xe Đạp,1948,89.0,8.3,100.0,173328.0,332930.0
Ikiru,1952,143.0,8.3,100.0,86143.0,55240.0
Apur Sansar,1959,105.0,8.5,100.0,16547.0,16000.0
"Thiện, Ác, Tà",1966,161.0,8.8,100.0,802478.0,6100000.0
Sherlock Jr.,1924,45.0,8.2,100.0,55846.0,977375.0
Phù Thủy Xứ Oz,1939,102.0,8.1,100.0,424419.0,2076020.0
Tài Xế Taxi,1976,114.0,8.2,100.0,907710.0,28262574.0
Cuộc Chiến Giành Độc Lập,1966,121.0,8.1,100.0,64889.0,55908.0
Thành Phố Trung Tâm,1927,153.0,8.3,100.0,183605.0,1236166.0
Bắc Tây Bắc,1959,136.0,8.3,100.0,343299.0,13275000.0
La Grande Illusion,1937,113.0,8.1,100.0,38610.0,172885.0
Greed,1924,140.0,8.0,100.0,10654.0,161800.0
Nơi Tất Cả Chỉ Là Những Giấc Mơ,1982,188.0,8.1,100.0,67064.0,4971340.0
Lãnh Chúa Hidetora,1985,160.0,8.2,100.0,134487.0,4135750.0
Andrei Rublev,1966,205.0,8.1,100.0,56560.0,102021.0
Zerkalo,1975,107.0,8.0,100.0,51442.0,177345.0
Kho Báu Ở Sierra Madre,1948,126.0,8.2,100.0,131358.0,5014000.0
Vùng Đất Linh Hồn,2001,125.0,8.6,100.0,834381.0,10055859.0
Some Like It Hot,1959,121.0,8.2,100.0,281092.0,25000000.0
Quay Cuồng,1958,128.0,8.3,100.0,422957.0,3200000.0
Double Indemnity,1944,107.0,8.3,100.0,165890.0,5720000.0
La dolce vita,1960,174.0,8.0,100.0,77557.0,19516000.0
Stop Making Sense,1984,88.0,8.7,100.0,19227.0,5020659.0
Câu Chuyện Đồ Chơi 3,2010,103.0,8.3,100.0,883898.0,415004880.0
Cuộc Chia Ly,2011,123.0,8.3,100.0,256297.0,7098492.0
On the Waterfront,1954,108.0,8.1,100.0,163111.0,9600000.0
Chim Ưng Malta,1941,100.0,8.0,100.0,165469.0,2108060.0
Cuộc Săn Vàng,1925,95.0,8.1,100.0,117528.0,5450000.0
Lời Từ Biệt,2019,100.0,7.5,100.0,70047.0,16877010.0
Nhà Độc Tài Vĩ Đại,1940,125.0,8.4,100.0,235312.0,288475.0
Chiến Tranh và Hòa Bình,1965,393.0,8.3,100.0,8190.0,134686.0
Sunrise: A Song of Two Humans,1927,94.0,8.1,100.0,53420.0,539540.0
Indiana Jones Và Chiếc Rương Thánh Tích,1981,115.0,8.4,100.0,1028358.0,248159971.0
They Shall Not Grow Old,2018,99.0,8.2,91.0,38101.0,17956913.0
Đêm Của Kẻ Đi Săn,1955,92.0,8.0,91.0,96369.0,654000.0
Au hasard Balthazar,1966,95.0,7.8,91.0,22530.0,39388.0
Jalsaghar,1958,100.0,7.9,91.0,6684.0,94886.0
Ba Sắc Màu: Đỏ,1994,99.0,8.1,91.0,109011.0,4043686.0
Hoop Dreams,1994,170.0,8.3,91.0,27761.0,7830611.0
Rebecca,1940,130.0,8.1,91.0,145167.0,4360000.0
Charulata,1964,117.0,8.1,91.0,7110.0,77820.0
Il conformista,1970,113.0,7.9,91.0,33266.0,541940.0
The Big Parade,1925,151.0,7.9,91.0,7190.0,11000000.0
Vượt Ngục,1960,131.0,8.5,91.0,19989.0,33187.0
Trận Chiến Tàu Ngầm,1981,149.0,8.4,91.0,262302.0,11487676.0
Umberto D.,1952,89.0,8.2,91.0,27830.0,74308.0
Những Mảnh Ghép Cảm Xúc,2015,95.0,8.1,91.0,773337.0,356461711.0
Bóng Tối Chiến Tranh,1969,145.0,8.1,91.0,25532.0,741766.0
Chén Thánh Phiêu Lưu Ký,1975,91.0,8.2,91.0,565784.0,1229197.0
Người Nhện: Vũ Trụ Mới,2018,117.0,8.4,91.0,656096.0,190241310.0
Tạm Biệt Những Đứa Trẻ,1987,104.0,8.0,91.0,35841.0,4542825.0
The Last Picture Show,1971,118.0,8.0,91.0,51814.0,29133000.0
Hiroshima Tình Yêu Của Tôi,1959,90.0,7.8,91.0,35443.0,88300.0
Đứa Trẻ,1921,68.0,8.2,91.0,133486.0,5450000.0
Xe Lửa Tình Yêu,1926,78.0,8.1,91.0,97156.0,1033895.0
Chinh Phục Mặt Trăng,2019,93.0,8.1,91.0,26988.0,9039891.0
Cool Hand Luke,1967,127.0,8.1,91.0,187031.0,16217773.0
Le notti di Cabiria,1957,110.0,8.1,91.0,51566.0,752045.0
Bronenosets Potemkin,1925,75.0,7.9,91.0,60955.0,50970.0
Stalker,1979,162.0,8.1,91.0,142983.0,234723.0
Der letzte Mann,1924,77.0,8.0,91.0,15046.0,94812.0
Annie Hall,1977,93.0,8.0,91.0,275941.0,39200000.0
Ngọn Đuốc Của Quỷ,1958,95.0,8.0,91.0,109147.0,2237659.0
8½,1963,138.0,8.0,91.0,124184.0,50690.0
The Grapes of Wrath,1940,129.0,8.1,91.0,99046.0,55000.0
Kỵ Sĩ Bóng Đêm,2008,152.0,9.0,91.0,2834070.0,534858444.0
Bride of Frankenstein,1935,75.0,7.8,91.0,52655.0,4360000.0
Thưở Ấy Miền Viễn Tây,1968,166.0,8.5,91.0,346339.0,5321508.0
Cầu Sông Kwai,1957,161.0,8.1,91.0,231489.0,44908000.0
Khoảng Khắc Của Tuổi Trẻ,2003,374.0,8.5,91.0,23057.0,274024.0
Mặt Trận Phía Tây Vẫn Yên Tĩnh,1930,152.0,8.1,91.0,67092.0,3270000.0
Tiêu Điểm,2015,129.0,8.1,91.0,497443.0,45055776.0
Đôi Giày Đỏ,1948,135.0,8.1,91.0,38572.0,10900000.0
Nhân Chứng Buộc Tội,1957,116.0,8.4,91.0,135734.0,8175000.0
12 Năm Nô Lệ,2013,134.0,8.1,91.0,734987.0,56671993.0
Căn Hộ Tình Yêu,1960,125.0,8.3,91.0,194301.0,18600000.0
His Girl Friday,1940,92.0,7.8,91.0,62550.0,296000.0
"Out 1, noli me tangere",1971,776.0,7.5,91.0,1527.0,31539.0
Thời Thơ Ấu,2014,165.0,7.9,91.0,365350.0,25379975.0
Kẻ Trộm Siêu Thị,2018,121.0,7.9,91.0,84999.0,3313513.0
Câu Chuyện Về Notorious,1946,102.0,7.9,91.0,106202.0,10464000.0
Hàm Cá Mập,1975,124.0,8.1,91.0,652265.0,260000000.0
Tay Trống Cự Phách,2014,106.0,8.5,91.0,966890.0,13092000.0
Mê Cung Của Pan,2006,118.0,8.2,91.0,697762.0,37634615.0
Le Samouraï,1967,105.0,8.0,91.0,56085.0,39481.0
Jeux interdits,1952,86.0,8.0,91.0,12990.0,10188.0
Laura,1944,88.0,7.9,91.0,50662.0,4360000.0
The Best Years of Our Lives,1946,170.0,8.1,91.0,69686.0,23650000.0
À bout de souffle,1960,90.0,7.7,91.0,87155.0,336705.0
Tanpopo,1985,114.0,7.9,91.0,22116.0,224097.0
Werckmeister harmóniák,2000,145.0,8.0,91.0,15649.0,25461.0
Edvard Munch,1974,210.0,8.2,91.0,3350.0,43539.0
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",1975,202.0,7.5,91.0,13419.0,19858.0
Thị Trấn Rio Bravo,1959,141.0,8.0,91.0,67435.0,12535000.0
2001: Chuyến Du Hành Không Gian,1968,149.0,8.3,84.0,711033.0,56954992.0
Câu Chuyện Đồ Chơi 4,2019,100.0,7.7,84.0,275991.0,434038008.0
The Last Waltz,1978,117.0,8.1,84.0,19809.0,321952.0
Kẻ Lạ Trên Chuyến Tàu,1951,101.0,7.9,84.0,139960.0,7630000.0
The Hustler,1961,134.0,8.0,84.0,86182.0,8284000.0
Rô-bốt Biết Yêu,2008,98.0,8.4,84.0,1185900.0,223808164.0
Những Tay Súng Miền Hoang Dã,1969,145.0,7.9,84.0,89662.0,12064472.0
Amazing Grace,2018,89.0,7.5,84.0,5092.0,4446414.0
Chuyến Tàu Mang Tên Dục Vọng,1951,122.0,7.9,84.0,113499.0,8000000.0
Khoảnh Khắc Cuộc Đời,2006,137.0,8.4,84.0,406848.0,11286112.0
Campanadas a medianoche,1965,119.0,7.6,84.0,10021.0,123398.0
The Train,1964,133.0,7.8,84.0,18452.0,7410000.0
Visages villages,2017,94.0,7.8,84.0,13455.0,953717.0
Aparajito,1956,110.0,8.2,84.0,15788.0,170215.0
Top Hat,1935,101.0,7.7,84.0,20517.0,3884760.0
Safety Last!,1923,74.0,8.1,84.0,22587.0,1359903.0
Nhất Nhất,2000,173.0,8.1,84.0,27842.0,1136776.0
